obsid,ra,dec,
585101115 , 254.647023 , 50.808924 ,
278303008 , 54.305003 , 2.17445 ,
427615145 , 207.657298 , 6.477112 ,
569803104 , 229.106415 , 33.308585 ,
546703177 , 251.912261 , 14.884808 ,
118408177 , 183.72375 , 9.065099 ,
476013109 , 53.990201 , 21.259317 ,
2904174 , 3.316773 , 27.251904 ,
202113113 , 29.152019 , 27.615676 ,
532307183 , 193.349727 , 42.154593 ,
435616175 , 181.163616 , 2.01706 ,
150502124 , 255.165216 , 44.045079 ,
474715182 , 36.42739 , 7.165566 ,
300604213 , 221.218471 , 27.012517 ,
190402084 , 119.6922 , 20.911623 ,
158206207 , 323.513454 , 15.231316 ,
372511061 , 322.687596 , 9.99118 ,
32513156 , 159.137347 , 47.039467 ,
177403228 , 141.883379 , 28.06189 ,
568401124 , 268.364301 , 40.809438 ,
200407232 , 163.739798 , 29.794229 ,
199613198 , 135.876503 , 33.282899 ,
556209134 , 182.667294 , 35.801241 ,
367409131 , 44.415963 , -1.294654 ,
121905245 , 198.268435 , 18.148787 ,
447410117 , 147.610642 , 5.556336 ,
52108069 , 284.792367 , 36.62798 ,
19303132 , 169.320375 , 28.650877 ,
157004091 , 339.297836 , 11.073575 ,
202014069 , 185.752808 , 14.813259 ,
371614139 , 314.818019 , 16.170288 ,
407010066 , 170.602841 , -4.715094 ,
421314098 , 142.829276 , 56.744286 ,
459716211 , 275.294071 , 42.40279 ,
90113084 , 9.783336 , 41.471369 ,
363802150 , 342.718175 , 11.299973 ,
220705187 , 187.189762 , 9.548767 ,
370212050 , 317.377799 , 4.394387 ,
381005076 , 35.249314 , -2.127964 ,
266112039 , 328.701903 , 0.994364 ,
121905244 , 198.27465 , 18.005971 ,
335310031 , 230.339459 , 15.536468 ,
170307148 , 344.710108 , 36.187208 ,
242802092 , 239.983747 , 33.910096 ,
238208105 , 247.303006 , 23.151121 ,
497608126 , 98.351702 , 55.437668 ,
459005182 , 266.432954 , -0.012535 ,
103505165 , 170.899228 , 9.883921 ,
285802188 , 183.326336 , 4.603145 ,
122705046 , 155.371316 , 4.590783 ,
386309217 , 109.24531 , 14.053572 ,
154311128 , 270.456492 , 38.114762 ,
424616116 , 137.398291 , 5.435835 ,
236604220 , 244.862029 , 7.77079 ,
378802078 , 329.2158 , 12.276263 ,
120708082 , 173.555594 , 15.322107 ,
280916159 , 180.776884 , 14.343091 ,
379603177 , 34.186448 , 23.326468 ,
293411061 , 40.869725 , 6.275706 ,
447415035 , 149.827315 , 7.558925 ,
108710179 , 103.18137 , 23.336476 ,
232413220 , 140.85206 , 6.9102 ,
206505190 , 188.635268 , 3.575835 ,
259202193 , 118.55188 , 17.069556 ,
302516098 , 216.427319 , 15.205279 ,
101006011 , 60.695405 , 2.134126 ,
134308092 , 215.086464 , 46.243201 ,
559116248 , 162.331211 , 49.902229 ,
567109166 , 164.249387 , 49.792799 ,
104808098 , 168.143088 , 14.872973 ,
353308222 , 342.002371 , 20.594528 ,
405003053 , 20.237183 , 40.492288 ,
371307058 , 330.250413 , 8.478197 ,
457508142 , 239.761148 , 1.386287 ,
341814154 , 262.615568 , 20.862835 ,
204708115 , 67.292452 , 33.241983 ,
567707004 , 195.680019 , 19.717972 ,
546808112 , 96.11123 , 46.300437 ,
