name,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S4226,3917951733862787840,173.2105653573579,0.0988477434028914,13.380323414122133,0.07720538186404122,-0.09813752725112895,0.11448224259307935,-1.2098116433599326,0.1940674713470794,-1.0418170737437118,0.16964410406395686,2579.8890690839457,3.0525382068858584,17.159363,1126.3697900194443,7.381631283649709,1.2774315,,,NOT_AVAILABLE,,,-0.34293413,9.93124961470751E-5
S4227,3917922047048647680,173.2563046731143,0.06809604977062159,13.033309086708249,0.06652135487309929,-0.07157498274756681,0.08417219914504415,-1.7944078325854027,0.14731388217208316,-2.936849933249351,0.1507471524257263,4793.771123550316,6.21791141085241,16.486673,2304.4194230788985,14.6277814483846,1.0865288,,,NOT_AVAILABLE,5017.797,,-0.5259201,9.060965037714455E-5
S4228,3966183941718869632,173.79227511133507,0.12855471401240473,14.555979218717283,0.1386756418430461,-0.0060590944672001415,0.1427712018004693,-1.5830461824191253,0.26543835456680615,-1.2533467705894883,0.24778291364390706,1821.79188041007,2.670163024099107,17.537119,880.4921050607609,21.785646698611277,1.0979424,,,NOT_AVAILABLE,,,-0.4872644,7.554554626402235E-5
S4229,3966181678271613952,173.73312425077827,0.13372827762484593,14.486033312418906,0.1376014857746622,-0.18921876447179112,0.13856131810688965,-1.679874865203459,0.28008132372393557,-1.1422892450868782,0.23569928656599914,1895.7947782056726,2.9283264593710374,17.493887,846.0180921346558,14.691081660321453,1.1981163,,,NOT_AVAILABLE,,,-0.4296573,4.070572724716661E-5
S4230,3966131684852278144,173.65344116483297,0.038983753230476696,14.118657806355914,0.028799224415405063,-0.04931692309903618,0.044633759920219784,0.031162706225141362,0.07469284868585827,-1.4686641999789791,0.05442419718399512,14153.844231975616,7.997953524119274,15.31118,5863.732000738592,21.2267134018639,1.3784447,,,NOT_AVAILABLE,4658.0,,-0.15196535,5.810624881865248E-5
S4231,3966038879199098112,173.16126818313816,0.13703244359536237,13.875381128081512,0.14764080981383934,0.062474926716878855,0.19448939317551145,-1.035735069970933,0.3282464917720084,-1.5576304271196275,0.32423294986191187,1455.5822546021325,2.370879425880271,17.780773,695.7363164164428,10.623583204585254,1.0881157,,,NOT_AVAILABLE,,,-0.54203385,3.598500584841071E-5
S4232,3918090723299834880,174.12622532845353,0.06545536536061929,14.002905643758197,0.0553306512035087,-0.008100318998842233,0.07922747365205568,-1.3524128860656317,0.1309350053423879,-0.9690412770245069,0.11729642778808293,5539.908219067564,4.038659273956597,16.329609,2408.2093143187167,13.02956661595703,1.2737675,,,NOT_AVAILABLE,5105.6665,,-0.32048553,2.5188115003612556E-5
S4233,3917982558843516160,173.6713168864506,0.053455566871520754,13.594296965990535,0.042512047949437935,-0.1042783677453588,0.06865244422054152,-1.098748731694423,0.1081492056123616,-0.8215797440201627,0.08470662871591161,9373.9648898511,10.047734502989833,15.758557,3457.736927422405,21.578874208856163,1.597414,,,NOT_AVAILABLE,4280.0,,-0.19838035,1.6742628504858045E-5
S4234,3917983349117498880,173.63545550088605,0.1434556878353706,13.619621448639744,0.1781623798362962,0.12946217969638987,0.21759047301921125,-0.9235030197710664,0.28612180337658527,-1.1125370468375535,0.2356996858060818,1507.3833079470583,2.2781050182391445,17.742807,733.4546018899439,7.123936175643855,1.1100864,,,NOT_AVAILABLE,,,-0.4066402,5.793946285866986E-5
S4235,3918126182549858688,174.42114844988848,0.0529145161225713,14.297952613485565,0.04080848172236523,-0.05405777436709499,0.06660381065949207,-1.7558543876319364,0.09448765459270254,-1.1376888177051507,0.08240062944373343,11576.256550245078,10.535898800930832,15.529446,4464.511041824982,16.991909449924613,1.5189285,,,NOT_AVAILABLE,4416.5,,-0.30415198,6.694497455521031E-5
S4236,3966167590778940416,174.20808895244423,0.12746618860741327,14.388901383445589,0.14224023927211438,-0.01991781045428681,0.20278919220008393,-1.143331441753179,0.24489119221126207,-1.271024659284223,0.23608140566810001,2141.217429912993,3.648415030326012,17.361713,1078.2075906396453,12.332932047862705,1.1067829,,,NOT_AVAILABLE,,,-0.42772543,8.61766140564166E-5
S4237,3918089074032391040,173.94923529204058,0.08619730725139865,13.930668464139519,0.06491635857487064,0.17879093261081958,0.09137919878602926,-1.218114278751505,0.17874522445315147,-1.2653674717397276,0.126766158938436,2948.905439210665,2.8505309842028415,17.014214,1234.7361682930905,16.755655392649842,1.3425026,,,NOT_AVAILABLE,4892.0,,-0.16086423,4.6765319988420754E-5
S4238,3972189203647332352,174.4289993089595,0.14388749283076335,14.775290693396517,0.1082138671427896,-0.15584174678229842,0.16758343371178588,-1.7499737542683356,0.2747035280632183,-1.1489064976426329,0.19635498348995403,1294.4501537717222,2.350657200847944,17.908152,610.8812297287454,12.360610901480893,1.0999527,,,NOT_AVAILABLE,,,-0.14661421,9.35643334099864E-6
S4239,3917998188228942464,174.41819783434806,0.08201530917591089,13.477128837904297,0.07367423413356863,-0.04827879991293782,0.1027995077531706,0.07026426051486959,0.16595639690662148,-0.2620656443114012,0.1437309972397463,3259.4523554418547,3.836097089848131,16.905504,1210.4702711801688,15.98785794535082,1.5972157,,,NOT_AVAILABLE,4349.8447,,-0.34157366,2.854338997074552E-5
S4240,3918077563520070400,174.23522098232797,0.06380546412707593,13.933819795265258,0.05998681766485448,0.11393311174775156,0.07768221677554911,-1.955705659152762,0.11316811148110877,-2.543127436852984,0.13236129537098465,7299.96092651141,4.95125131805868,16.030064,3413.461340645422,22.511442561191473,1.126934,,,NOT_AVAILABLE,4978.0,,-0.5089266,2.8579658658108874E-5
S4241,3918044646890726400,174.571295771794,0.05917717441574546,13.794034358029673,0.045380133070221734,-0.05282666147355244,0.07542916061119387,-1.243706394311493,0.10937121667157529,-0.594113205869345,0.08158845478089856,7874.65101864735,8.573938478135798,15.947787,2849.5457230168927,27.060623080918592,1.6126938,,,NOT_AVAILABLE,4239.6665,,-0.1919744,6.557839474633439E-5
S4242,3924063476620496512,175.01907710892795,0.05672292630431027,14.183304896665291,0.04653004850069041,-0.05256576396292479,0.06282854465970014,-1.5923786726370885,0.11947523702426134,-0.9390108795488952,0.09503826836400434,7407.021994343198,6.5507715990453015,16.014257,3075.932394883889,23.80370455385394,1.3681107,,,NOT_AVAILABLE,5033.3335,,-0.24638525,2.2723115385906232E-5
S4243,3917772032431251456,175.47958299157912,0.13959525423614855,13.346818424928545,0.11680643597077472,-0.04506033679846804,0.16917250487012567,-1.5829300254695455,0.25567853705773336,-0.8037482096867826,0.21670862093019447,1549.4585680534133,2.158772519438188,17.712915,705.2785770563152,5.133728166618349,1.1603184,,,NOT_AVAILABLE,,,-0.3086841,1.1477288898377202E-4
S4244,3924043307454096256,175.11185227203623,0.08102540418581639,13.92922485524809,0.06006082131790464,-0.16390109557130436,0.08968298286741044,-1.4536436399267365,0.16444516006786533,-0.4355212464836232,0.1522106509721711,3759.445915703621,3.0033541470119256,16.750557,1611.217521824339,12.471577248496244,1.2931957,,,NOT_AVAILABLE,5057.0,,-0.36427113,9.092405024387335E-5
