name,specobjid,ra,dec,plate,mjd,fiberid,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,fehspec,fehspecunc,psfMag_g,fiberMag_g
S232,3723441785020719104,199.48308,1.1208158,3307,54970,330,-1.899992,0.0605,116.628586,2.123162,-1.899992,0.0605,16.646618,16.989151
S2623,2891431426970904576,185.15455,0.254364,2568,54153,438,-2.154888,0.114112,-134.787781,5.682384,-2.040776,0.0945,18.443592,18.753569
S4376,1040431335019145216,229.88404,-0.62025629,924,52409,363,-1.709305,0.382282,-99.217705,3.21632,-1.327023,0.0473,17.098856,17.400562
S1551,3303432735485356032,222.32297,-0.437989,2934,54626,154,-1.919087,0.159293,-19.441076,3.760714,-2.07838,0.0486,18.121626,18.438263
S1402,3266284910943430656,197.78827,-0.305587,2901,54652,179,-2.313057,0.706,98.378349,2.819489,-1.143434,0.1717,16.18153,16.532696
S4244,1003330242221205504,121.39444,34.526441,891,52584,558,-2.221259,0.067,28.037455,2.756051,-1.800563,0.0511,16.632078,16.93832
S1619,3149151187853404160,263.85728,7.687866,2797,54616,33,-1.283644,7.6437E-3,123.470566,3.89744,-1.291287,0.052414,17.316095,17.671257
S1751,3341813387188267008,243.36981,18.703068,2968,54585,518,-1.752687,0.128,-155.913635,2.172565,-1.765871,0.0234,15.723111,16.050346
S1870,3218982544951240704,169.48652,-12.790586,2859,54570,126,-2.420248,0.0559,384.980682,1.62084,-2.420248,0.0559,15.235504,15.578427
S2521,3028839045334591488,168.19763,-15.394468,2690,54211,612,-1.524607,0.041595,199.562881,4.967698,-1.524607,0.041595,17.138514,17.451326
S2972,2677479376857098240,42.949813,35.461498,2378,53759,325,-1.838094,0.1005,-179.105286,5.541863,-1.838094,0.1005,17.826021,18.130472
S1202,3508451799554170880,31.3834,7.9743099,3116,54792,537,-1.821146,0.0802,-112.65744,4.721208,-1.821146,0.0802,18.187346,18.500568
S3074,2622229741624649728,22.569849,7.181055,2329,53725,32,-1.754478,0.0686,-120.567352,5.154905,-1.754478,0.0686,18.204046,18.495304
S2372,2598749132029978624,334.12985,6.833186,2308,54379,626,-1.43216,0.0296,-96.311485,1.876999,-1.43216,0.0296,15.010932,15.361633
S1470,2593110840597047296,302.78935,-11.448135,2303,54629,594,-1.408173,0.123,-64.224525,2.323339,-1.237845,0.0412,16.538542,16.854614
S1504,2592993742608689152,301.58846,-11.553445,2303,54629,168,-1.902524,0.0457,10.305062,2.248529,-1.902524,0.0457,16.141413,16.451393
S300,3745926797489971200,170.07716,15.969131,3327,54951,210,-1.991976,0.206,186.31897,1.711831,-2.294031,0.0678,15.986882,16.273403
S1853,2840653513128699904,240.91812,10.287097,2523,54572,29,-1.473231,0.0359,-66.215279,2.405743,-1.473231,0.0359,15.825924,16.167606
