name ra  dec
S394 216.71085 35.34871 14.8
S395 216.25378 34.82698 21.0
S396 151.86517 54.10658 27.4
S397 152.27502 54.92469 10.0
S398 260.30783 36.52707 15.2
S399 259.52566 35.38058 24.9
S400 259.48804 35.04829 18.1
S401 259.30405 35.34335 29.4
S402 260.06299 34.22374 21.8
S403 260.56567 34.26907 11.7
S404 260.60995 34.47741 44.0
S405 261.15402 34.34445 29.8
S406 167.43698 40.79565 32.1
S407 166.06407 40.95259 19.5
S408 262.60318 35.66853 28.2
S409 169.2522 65.7975 27.4
S410 223.56192 31.74596 17.6
S411 224.1012 32.79161 25.9
S412 222.6046 34.04998 11.4
S413 224.08255 33.5396 27.2
S414 225.3717 32.88567 10.1
S415 170.63792 63.31115 12.7
S416 171.53381 64.58722 11.0
S417 171.98823 65.59716 13.4
S418 185.9106 55.74139 44.0
S419 186.40996 55.11201 15.0
S420 255.07687 22.43724 19.3
S421 254.8473 22.89415 31.7
S422 254.64175 22.80699 31.5
S423 254.90659 23.71668 13.4
S424 254.17741 22.71497 15.1
S425 253.52595 23.02797 31.4
S426 254.17268 21.25145 12.5
S427 254.21616 21.65472 25.6
S428 254.09308 21.91225 10.3
S429 254.68132 21.64829 25.4
S430 255.24058 22.01898 26.8
S431 254.74637 21.62732 11.0
S432 254.94458 21.1566 16.1
S433 255.31126 22.09652 11.1
S434 255.24396 20.97967 38.9
S435 255.69534 21.5244 12.0
S436 256.0997 21.74963 20.7
S437 255.02129 22.44873 48.3
S438 255.8103 22.63762 12.8
S439 255.8618 22.3272 16.4
S440 255.75227 22.3093 16.3
S441 256.34085 22.28762 11.5
S442 228.24245 51.43154 21.7
S443 227.79533 51.60619 14.6
S444 227.78323 52.26131 10.1
S445 227.02881 51.30006 10.5
S446 227.42091 51.00368 14.6
S447 228.39545 50.58737 18.8
S448 229.27351 50.22248 23.1
S449 187.90645 4.7414 17.2
S450 187.47144 5.86335 41.2
S451 187.32228 5.48728 32.0
S452 186.35294 5.0879 15.6
S453 186.2599 5.56542 10.4
S454 255.95888 21.45348 19.2
S455 155.12811 42.98841 14.5
S456 154.60574 44.08556 18.6
S457 155.2012 42.00236 13.7
S458 186.15611 5.15978 15.9
S459 185.52507 5.67083 48.6
S460 185.2308 4.83538 19.5
S461 185.49589 4.36163 35.6
S462 186.05878 4.49999 11.9
S463 185.86749 4.93448 20.2
S464 186.25929 4.61326 15.3
S465 186.73959 4.94583 9.9
S466 186.93111 4.307 20.0
S467 187.07632 3.8738 10.2
S468 187.91589 4.51093 19.2
S469 131.16515 23.38634 25.5
S470 128.71435 22.90285 28.6
S471 129.49818 22.3832 28.9
S472 254.87653 40.87269 11.4
S473 254.6028 41.48218 15.6
S474 253.32385 40.29631 31.9
S475 253.55699 41.01455 19.6
S476 253.23733 41.67123 13.2
S477 128.27772 55.72062 23.4
S478 127.64022 54.82327 11.3
S479 128.65956 57.46294 10.1
S480 129.11456 56.87038 17.4
S481 252.67352 41.43582 18.3
S482 177.36896 5.63479 26.8
S483 176.95727 4.91472 22.2
S484 176.43014 6.17909 21.3
S485 175.53419 6.85577 11.4
S486 176.55394 7.66279 35.0
S487 176.68556 7.09071 31.5
S488 176.60452 6.87578 14.5
S489 177.33362 6.95088 44.4
S490 177.2102 6.77292 17.0
S491 177.40416 7.06469 23.2
S492 177.72588 6.91115 25.9
S493 254.11816 42.07091 24.9
S494 203.07645 24.2391 11.6
S495 202.78258 24.5497 28.0
S496 202.6626 23.68718 17.6
S497 202.24426 23.91087 13.3
S498 202.37718 23.89401 60.0
S499 201.81038 24.02118 40.2
S500 201.24466 22.72026 12.2
S501 201.84647 23.34962 13.0
S502 201.96312 22.57077 21.8
S503 255.11897 42.13068 58.5
S504 254.19595 42.3739 20.0
S505 243.13506 6.88885 10.3
S506 146.00412 43.74119 32.0
S507 148.31499 43.53013 18.8
S508 147.34601 44.37783 25.9
S509 243.03439 7.10752 20.1
S510 243.49852 7.35604 28.4
S511 243.41083 6.87043 23.0
S512 243.78394 7.06429 13.4
S513 211.36192 64.81684 19.9
S514 207.33128 66.48696 20.8
S515 208.06416 65.37732 39.4
S516 208.5531 65.30404 23.8
S517 243.40337 5.96094 12.4
S518 244.06422 6.75123 24.2
S519 243.73112 6.55873 26.0
S520 244.10493 6.29826 9.5
S521 242.57706 5.6386 19.3
S522 243.1573 4.80482 18.3
S523 244.46553 6.55636 19.8
S524 244.58688 6.08602 10.1
S525 243.25073 5.53325 17.0
S526 243.87315 5.30783 32.0
S527 243.9574 5.49701 15.1
S528 244.15768 5.53023 12.1
S529 243.88449 5.21334 9.1
S530 244.85611 5.58376 11.4
S531 245.01419 5.59439 12.5
S532 244.46133 4.69189 16.1
S533 244.75655 5.35084 10.4
S534 183.33543 -0.10934 19.8
S535 183.4407 -0.53705 17.9
S536 183.73016 -1.12015 19.7
S537 182.2233 -0.96531 15.3
S538 182.85673 0.43049 9.8
S539 183.88329 0.10256 13.6
S540 183.68278 0.93319 12.2
S541 184.45493 -0.07888 31.8
S542 130.71217 4.55199 13.9
S543 130.67126 5.18612 22.5
S544 130.52579 5.33519 14.6
