xsource_id,gsource_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,pmra_pmdec_corr,dist
S3191,1762925715271376512,312.102653842801,0.027602255546389298,15.742297204353282,0.037432475144788896,0.17756410784701182,0.03922893547434441,-9.712713521976218,0.056081018376116905,-8.28048683014366,0.06122759281878375,30798.669128169116,7.31507016811892,14.467036,20755.510128908423,27.29200625853415,0.3006134,,,NOT_AVAILABLE,8785.667,,0.16909695,6.494867400006923E-5
S3192,4463840981970201344,247.1665863172185,0.044695959982800675,14.758663796301422,0.03729152354646052,-2.2298554542753653E-4,0.06874684436185112,-3.3397718091769097,0.0877144766635994,-2.122490829122729,0.08264130625841158,3369.371073088585,2.203823366965949,16.869493,2506.533381051519,11.023437847756933,0.047546387,,,NOT_AVAILABLE,9554.0,,0.214711,4.241182062606254E-5
S3193,1327684930768681472,249.71238750893866,0.019363251647379353,35.85250173185662,0.02554205423423887,0.16126228069583912,0.027214302767356528,-8.017576855057959,0.04260884334159061,-11.673261223368005,0.05083095293473421,23179.097063151832,8.53992532820233,14.775624,17023.27133798778,52.33610615763932,0.056405067,,,NOT_AVAILABLE,9566.0,,0.2658344,2.760233603144218E-5
S3194,1762587611149350144,310.78389125034766,0.17367659871168512,15.434544242713526,0.15288634473626822,-0.16107497194547843,0.23748529140398383,0.4249638912842396,0.32621245580912506,-0.5923074505790964,0.2552808506770386,955.9596602913792,1.769554919993306,18.237267,685.4142542329699,10.36017034282696,0.16361046,,,NOT_AVAILABLE,,,0.1763417,1.7872494715296456E-5
S3195,1328031723617242752,250.19391930744064,0.03122328522519139,36.28124319458711,0.03243669699561496,0.10857155046530137,0.03912937449348169,-3.304383600010771,0.06440559499087606,-2.6679249675795043,0.08345346148016206,14919.927553753068,6.660448706160005,15.253949,10887.698090977465,26.244342392991467,0.07685852,,,NOT_AVAILABLE,9572.75,,0.19243607,1.6983877470525165E-5
S3196,1328034983487831168,250.7019578287077,0.04437598083988849,36.14102332314813,0.05498133695703601,0.06429929782152015,0.05687586903706369,-2.534432106276321,0.09441869815573951,-1.6642648794884254,0.14205154406296375,4761.644232589425,3.864893986488195,16.493973,3484.3409332353817,11.553588719663852,0.06428146,,,NOT_AVAILABLE,9581.667,,0.2705039,1.6768781403324383E-5
S3197,1327252925777913344,250.66833932560067,0.058951096329633405,35.7859066476301,0.08176850613985369,0.055943048729563544,0.08414738391833645,-2.703776731666523,0.1308096277212202,-3.0397751810040896,0.21023735551369538,2643.2820643903965,2.4213993315241344,17.133007,1803.9798648826268,19.506947454747447,0.26460838,,,NOT_AVAILABLE,,,0.3103659,1.534649733215591E-5
S3199,1326835832914050688,249.9890163538167,0.0842605896851815,35.18492244778207,0.07892147779933834,-0.063294158403181,0.09542747180338672,-1.3509366256869475,0.18641192730389683,-0.5669969979555931,0.1888653039809792,1510.8208344733096,1.9089629731862332,17.740334,1002.5665582883358,10.536345790736096,0.31969833,,,NOT_AVAILABLE,,,0.10579787,5.740940157318108E-6
S3201,1762706220967489408,312.2757578814256,0.1471888611192473,15.324101623430654,0.13483000095344505,0.2711395566031239,0.18210859733864476,1.5432544668638024,0.28488422259986207,-0.7558814175168679,0.21954438748533078,796.8702244583583,1.2072261162779987,18.434896,507.87094141085424,5.7871557987832105,0.42671585,,,NOT_AVAILABLE,,,0.05282967,3.25695839151418E-5
S3202,1328108174034850432,250.33389186408414,0.025580885040598217,36.61449108446654,0.02746394987571403,-0.03514832456326756,0.033607625121884734,-2.945593922350002,0.047423333378664806,-2.747842676298269,0.06628791217812244,18645.88918551669,6.422097391327061,15.011908,13282.17021316807,31.66642480042127,0.1450634,,,NOT_AVAILABLE,9430.75,,0.2706068,2.945884522712786E-5
S3203,1327675447480946432,249.24324543025313,0.03925847004748695,35.82905461639267,0.04815281816498194,0.03605775583324167,0.05290305650031035,-1.612038667916736,0.08549195757444018,-1.0929764100743957,0.11237355763059823,4168.919713595158,2.79311105836495,16.638308,3047.367933737868,12.31815593830821,0.05514717,,,NOT_AVAILABLE,9593.0,0.456,0.27702975,2.0635000043161063E-5
S3204,1328085737125715072,250.1767077177927,0.021181344433075715,36.54276830072705,0.02648421187705467,0.008869650542498683,0.02813506244330387,-3.2256625818603673,0.04446447376732034,-2.6385788752945976,0.06171035252885665,14397.219108308202,5.850959557531707,15.292669,10532.66951626628,27.046711321405546,0.0652504,,,NOT_AVAILABLE,9584.5,,0.24174704,2.5600612758297277E-5
S3205,1328003892227658880,250.27083330666625,0.02014816841593159,35.82998502359111,0.024662501341792625,0.2172250613480805,0.026638619552503316,-5.6653090748652035,0.04236360604403086,-0.6001737793574107,0.057352159832329164,40986.501936767774,12.235634043366979,14.156764,30839.436668431565,113.2066083126446,-0.0060834885,,,NOT_AVAILABLE,8725.667,,0.26261032,3.016274680373612E-5
S3206,1326862152473752064,250.13300150889705,0.01991141802069548,35.349283056383555,0.024100291630555173,0.0969879228008514,0.026172387070230774,-3.2999895196938267,0.04024215174991589,-3.746844508865559,0.05411288745109731,16629.672815781767,5.707912437144606,15.136156,11571.830637030924,30.557809548964343,0.20670319,,,NOT_AVAILABLE,9031.25,0.7438,0.22284172,2.4253683973410983E-5
S3207,1326814358077671808,250.2961291572708,0.022000378770759974,34.94334661911465,0.026265012901470805,0.15265755672309095,0.029656453171982285,-2.579341329809921,0.04911279134525389,-1.064322826752802,0.06390674879139266,13991.258558783387,29.118974132862892,15.323724,9469.970078907148,85.25873260337816,0.3063259,,,NOT_AVAILABLE,8542.0,0.8408,0.09475126,1.6063394345180064E-5
S3208,1328125353904079744,250.27303337120733,0.02774666391287141,36.837119617197686,0.029046732402387653,0.05791860871858324,0.03410777508212176,-3.2964973216177538,0.057012239343758056,-2.4998245394327063,0.06886925522089606,15313.83486575463,6.2486652873693425,15.225656,11169.046266224876,25.8991106437948,0.07824135,,,NOT_AVAILABLE,9572.75,,0.26219928,2.725142764034758E-6
S3209,1328322922390259968,250.04404874175023,0.04266959506799332,37.07291905717615,0.06115409352349208,-0.001565048683908294,0.057447048842579146,-2.240432153953846,0.09248855450918321,-0.4299688055860953,0.13366580001746983,4259.473003841864,3.131315212200425,16.614977,2864.5277655543564,11.543766356052021,0.29470825,,,NOT_AVAILABLE,8786.25,,0.4108789,2.4957801432153258E-5
S3210,1331385646389205632,249.09346331317528,0.025853091966420157,37.40026947363135,0.03441298510277696,0.08017326186070524,0.03471859902893309,-3.298160748784129,0.053818978207875325,-2.252119479464256,0.08049856634809265,14402.971850691014,5.71390381022279,15.292235,10683.651487799936,25.16799858651924,0.03337574,,,NOT_AVAILABLE,9365.0,,0.30756515,5.338107109437889E-6
S3212,1328428338067636224,250.36953478306356,0.056850098793483496,37.419783142947026,0.06541196579517222,0.03605235536038319,0.07259922211637782,-1.3231095823444299,0.118916066066567,-1.5873767515441208,0.1702103029566763,2468.7890190435996,2.1398069361041534,17.207155,1732.2448821832681,14.99097359228348,0.16533089,,,NOT_AVAILABLE,,,0.18823348,8.011631768550579E-6
S3213,4465768047896021632,247.49875477139773,0.02066336833371569,16.065586185842683,0.018433441749774446,0.4862157868686958,0.031788248342634814,0.4708699731322894,0.04264002810643572,-35.20414872478585,0.038818720964823555,24369.967598848878,49.18503927945517,14.721229,15911.567472059898,131.75133888743383,0.401968,,,NOT_AVAILABLE,7723.3335,0.135,0.07641578,1.261653019279923E-4
S3214,4465573399978411264,248.1434515423587,0.053042837241807604,15.959768077038074,0.043742447409016505,-0.06494237460252428,0.08491155617320344,0.15379066143466658,0.10283074650635138,-2.5746946131691955,0.08993886844692262,2944.6070114309455,2.138659362193854,17.015797,2087.26688209485,10.054801206874616,0.16161728,,,NOT_AVAILABLE,9367.5,,0.14881381,8.35591866359862E-6
S3215,4465793577181787648,248.03130781495346,0.05374554508655708,16.43838314318962,0.043868914055513644,-0.015930127677933087,0.07852821923290752,-2.166832405390197,0.10456627714878253,-0.4197869441315113,0.09284286156775926,3197.2848783441145,2.5580393530039007,16.926413,2230.154183494254,10.36821531060625,0.2007103,,,NOT_AVAILABLE,9281.75,,0.22581667,2.2355729882616845E-5
S3216,1804004049504695552,305.795169330573,0.07188951860405458,13.049170017956547,0.06645265546026705,0.032458358946843034,0.10099916755477416,1.6244564736507505,0.13489377400778257,-0.3774103970131468,0.124919839655223,3125.1870172659123,3.223322545269522,16.951176,2045.6519996231293,9.752715423700717,0.37836456,,,NOT_AVAILABLE,7911.6665,0.97,0.27919114,2.998913497247762E-5
S3217,1804029342569851264,306.1035366167508,0.03174093840844946,13.236131610012489,0.030472140583923453,0.06385498987629716,0.045665901882171,-2.8508529758297323,0.06592490744215895,-7.752000458820239,0.054737677097441456,12317.664518215503,15.99826724890141,15.462045,8126.822997432221,57.3389403568159,0.36847496,,,NOT_AVAILABLE,7927.0,0.9667,0.13815163,5.088642569249774E-5
S3218,1804931384484999296,305.16399025493695,0.035378264700938536,14.10613594407495,0.02828139627728959,0.20854779071956656,0.040563489244168645,0.20935058820692287,0.06816994614271672,-7.347574026716645,0.050619257909600236,16333.915428192868,6.062851138423211,15.15564,11307.225246123686,22.32928455047112,0.22845554,,,NOT_AVAILABLE,9077.0,0.476,0.0650419,4.823709975066574E-5
S3219,4465776294233332864,247.50582839136948,0.04106863566130611,16.309866405122907,0.038819494468651454,0.2759983427898314,0.06702558776067598,-4.509557611787873,0.08236501484428436,-1.1210758897152238,0.08467817113027665,3920.579439909592,2.4518832358008673,16.70499,2607.1611123631624,13.787396685954793,0.334898,,,NOT_AVAILABLE,8314.25,0.017,0.22785406,1.1707064296652482E-5
S3220,1804994782498138880,306.17539848539974,0.04477323881372613,14.250638399581634,0.04883333337334584,0.028011088738530407,0.061942132328716544,-0.41512284191866566,0.09012751943135547,-3.7710723059375324,0.08836306820871302,7173.880713799296,4.489947126336967,16.04898,4700.565674219365,16.825071599372237,0.38614273,,,NOT_AVAILABLE,8174.3335,,0.16818199,1.3967988838465974E-5
S3221,1804979045738151680,305.8197860187887,0.03081648159024479,14.174222998798399,0.028780943836823444,0.14946931008424102,0.040641011378822645,6.119495218276885,0.059257953440096205,-2.172707351682735,0.049670066622605286,22678.12071025428,6.86921872720537,14.799348,15233.755646063875,23.256139967735407,0.29796982,,,NOT_AVAILABLE,8742.667,,0.23907441,1.3559808451125606E-5
S3222,4465887379267602048,248.87399822777274,0.03735208615272202,15.886112519900662,0.03203578944975031,0.017807511875799965,0.05393589291325674,-2.1445872389120746,0.07524019323396246,-3.1724319743003186,0.0652933988878885,4676.521477142504,2.7567329323669023,16.51356,3309.808157117209,12.082764869033541,0.15875244,,,NOT_AVAILABLE,9546.25,0.7505,0.07885994,2.972133130898324E-5
