name, ra,  dec,
S286 , 311.2613 , -0.3753 ,
S287 , 312.2717 , 0.0982 ,
S288 , 345.5952 , -9.6129 ,
S289 , 344.8818 , -10.0297 ,
S290 , 343.356 , -9.8408 ,
S291 , 343.7896 , -8.4958 ,
S292 , 343.7144 , -9.2018 ,
S293 , 343.6044 , -8.8282 ,
S294 , 343.8794 , -9.3439 ,
S295 , 344.2129 , -9.2949 ,
S296 , 344.1381 , -9.2626 ,
S297 , 344.5518 , -8.8368 ,
S298 , 343.5027 , -9.6514 ,
S299 , 7.2383 , -10.621 ,
S300 , 7.1761 , -10.5593 ,
S301 , 6.6523 , -10.8212 ,
S302 , 6.9897 , -10.4321 ,
S303 , 6.142 , -10.5143 ,
S304 , 4.5743 , -10.3348 ,
S305 , 4.6051 , -10.3765 ,
S306 , 4.9537 , -9.4345 ,
S307 , 6.2133 , -9.1133 ,
S308 , 6.5616 , -9.9069 ,
S309 , 6.571 , -9.0313 ,
S310 , 4.9102 , -10.3417 ,
S311 , 4.6492 , -10.4042 ,
S312 , 5.6387 , -8.7856 ,
S313 , 25.2805 , -10.3393 ,
S314 , 25.493 , -9.9862 ,
S315 , 23.2742 , -8.5602 ,
S316 , 22.9667 , -9.1477 ,
S317 , 23.7274 , -8.5642 ,
S318 , 23.6417 , -8.3375 ,
S319 , 24.6081 , -9.2215 ,
S320 , 312.8192 , -6.6396 ,
S321 , 312.6272 , -6.4771 ,
S322 , 312.3426 , -6.8909 ,
S323 , 312.3921 , -6.2633 ,
S324 , 312.3493 , -6.2323 ,
S325 , 311.8488 , -6.5903 ,
S326 , 311.6623 , -6.6786 ,
S327 , 310.2805 , -6.3191 ,
S328 , 310.7602 , -4.8446 ,
S329 , 310.7444 , -4.9451 ,
S330 , 311.0874 , -4.9543 ,
S331 , 311.3604 , -5.9574 ,
S332 , 311.4579 , -5.7529 ,
S333 , 311.5145 , -5.4037 ,
S334 , 311.5148 , -4.8439 ,
S335 , 312.2376 , -5.8732 ,
S336 , 312.1585 , -5.2979 ,
S337 , 312.2237 , -5.0257 ,
S338 , 312.472 , -5.0173 ,
S339 , 317.8656 , -0.1764 ,
S340 , 317.3542 , -0.5837 ,
S341 , 316.8947 , -0.2286 ,
S342 , 316.8985 , -1.2306 ,
S343 , 316.8032 , -0.6339 ,
S344 , 317.2222 , 0.0102 ,
S345 , 316.8988 , 1.0893 ,
S346 , 317.5242 , 0.5836 ,
S347 , 317.8091 , 0.4929 ,
S348 , 317.7412 , 1.0582 ,
S349 , 317.7896 , 0.7746 ,
S350 , 315.7496 , -0.4048 ,
S351 , 317.4719 , 0.7767 ,
S352 , 168.3277 , 37.9905 ,
S353 , 10.6164 , 23.8322 ,
S354 , 10.777 , 25.4159 ,
S355 , 20.325 , 25.6758 ,
S356 , 19.7515 , 24.5982 ,
S357 , 18.9525 , 24.4574 ,
S358 , 18.2197 , 24.6869 ,
S359 , 19.1409 , 26.3144 ,
S360 , 19.1925 , 26.2813 ,
S361 , 20.2851 , 25.8891 ,
S362 , 20.097 , 26.6347 ,
