,x,y,z,vx,vy,vz,l,b,d,vlos,mul,mub,d_err,vlos_err,mul_err,mub_err,pm_corr,TEFF,LOGG,FEH,RA,DEC,ID,sgr,r,Lx,Ly,Lz,Sgrball,sigmavlos
1991,31.527865704515712,11.023887688771001,43.28022709952475,-412.69163016915604,124.91534986240238,183.90993840616966,15.579167276653703,46.57015658624108,59.70773711238122,-177.29316092557852,-0.0064625895267647615,1.5612599901480022,5.970773711238122,14.622607460164796,0.47700218043233233,0.6320562870256102,0.3230585441029327,8596.890692726989,3.7039143799621996,-2.130910228984558,234.43067118685238,8.549307761597781,1164388139574607232,False,54.66909980457929,-3378.9622044229563,-23659.675315589626,8487.780555975012,False,-0.7787094908556107
2046,-34.88835865035411,6.251173126672282,-36.162115934844934,226.23664479395222,-129.40059926127893,-36.86929622227188,166.81050679749373,-52.920385205201846,45.43918960755822,-141.70373244413807,1.468895755277308,-1.2100673079687527,4.543918960755822,16.381685451821106,0.28953975116543024,0.32075077759466547,0.25071562577020945,7702.858219080432,3.322196418214293,-0.8673954738058766,37.56893037823412,1.3179320839571662,2501393905288365056,False,50.63569258596681,-4909.875826268764,-9467.505007537999,3100.3300823937893,False,-0.5389665705985197
2047,-44.95590290569832,7.763776744365812,-49.20507265776642,489.25980324604535,-163.82150981925435,-182.41399516975648,168.05797744572828,-52.73819404015042,61.969356407674944,-183.35506284076044,1.0276646426488103,-1.8829326968636384,6.196935640767495,13.620768314851317,0.4004731640553173,0.48572653110655345,0.27049957913432715,7601.899549787977,3.6729612675189682,-0.5853406724573377,38.27173891026403,0.9900305327113145,2502103021568732800,False,67.10028770921183,-9477.070827107218,-32274.650022738257,3566.2400069046635,False,-0.819544596376219
2051,-57.43348063237149,4.971288938234673,-57.11156255389017,418.23628222277847,-680.1560644361424,-221.80713269919983,174.22635454948286,-49.20477467341856,75.63362554820385,-151.69296093504167,2.455031419417769,-1.4658721771036853,7.563362554820386,45.89734359924862,0.634630608006321,0.8281988956516696,0.052547453906515065,7736.619955384308,3.6836918057963888,-3.1676870909757207,43.51976610863856,1.0547684134626345,2498368422950694400,False,81.14831476132647,-39947.44296566158,-36625.28325447402,36984.55675040071,False,-0.6062575306310319
2117,21.08908443965109,41.929437369669046,-27.06414142215107,97.75632927109054,-83.64257018140695,4.036130302482187,55.07254103450249,-27.84076410455274,57.83560899749037,-194.08129851912238,-0.9413344388786961,-0.388417942947785,5.7835608997490375,10.769745507054136,0.53899032786599,0.40531706848881716,-0.20513388460454274,9558.063997257232,3.5382991177713787,-3.999867917237663,317.58141071140403,4.79798519909698,1732950103423600128,False,54.1783623927295,-2094.4816755680436,-2730.809413061642,-5862.81311096607,False,-0.8918002963023173
2140,18.256452078694835,44.82102717142813,-26.91357646909986,80.67473658428963,11.127160743246668,165.7519842315645,59.45669539965265,-27.3051378526728,58.56796429302349,-221.56138965662205,-0.6381612151651859,0.2290542152999855,5.856796429302349,4.538896278102849,0.3704233323348267,0.41178554216747976,-0.24840872629546937,7545.915811559736,3.0488954666919277,-0.9769411986861438,319.4016563264697,8.279145348199762,1740448154250388736,False,55.37655747301077,7728.645880508415,-5197.288849257906,-3412.7820836112355,False,-1.0769158651480162
2150,19.934386939332136,39.26873563184477,-25.88416028542551,-67.77933378004928,47.42466100656483,55.961496114973244,54.391416559233036,-28.13987520429949,54.7746284250534,-206.18676057703016,-0.1913799526831701,-0.21517566972777621,5.47746284250534,12.62789464465231,0.6565660927281988,0.6220341613579256,-0.16898349085679001,12326.513730674884,4.22973584752271,-3.9999953753067166,317.4925723652632,4.132129169989923,1732134265796068992,False,51.08231723847627,3425.0847234772855,638.8530223423427,3606.9902824828414,False,-0.9733469507066634
2185,24.932395222022386,49.502697383072466,-26.38312880568434,65.38757397951872,-192.25434322992677,62.42130119006833,56.213874996043764,-23.839906183847585,65.11740003514133,-328.37263848205794,-0.9297297939147846,-0.27606345443339586,6.5117400035141335,13.258569518454795,0.5695160108727714,0.5132120855467135,-0.4212025886827057,8784.210851424505,3.343783903467801,-1.0841516360564238,314.8377546820992,7.900825312279524,1737914123545966720,False,61.38575457941773,-1982.2483178178313,-3281.4413381365357,-8030.222555880257,False,-1.7964340423806378
2195,-39.30968331345199,1.7878095192611347,57.5451556863954,121.52073032434541,-66.11620897353686,100.21039064661011,176.7344211413943,61.34917167662184,65.45930806058722,20.960771983480793,0.9830100877807683,0.49947926166759093,6.545930806058722,18.30921536611228,0.5107790357854763,0.5549963498928772,0.16197705016897823,8480.822146484546,2.920077631795446,-0.5649236973899726,162.168798663246,40.70482401102178,776719100037954944,False,69.7129285574242,3983.8246291033174,10932.168066674481,2381.7513181743166,False,0.5567988006826392
2200,-20.418927662293044,54.44133831353729,27.712698982539862,-68.30905273563737,-36.42741396365165,-85.24421806641205,102.79906159694843,26.356116320575662,62.30502123898465,-271.7492548801594,0.4788705610781983,0.1035748988417014,6.230502123898465,8.775255310077965,0.3649906794205164,0.3359887771085713,-0.26160106469361616,8349.499315605095,3.5422615634716794,-0.919801428011634,280.725960614767,72.02310492683081,2266167372643629696,False,64.41106744297788,-3631.3073571394384,-3633.6237385719605,4462.6449805063,False,-1.4149989949862718
2210,-17.50895269930015,22.032034544989106,44.70797647706208,-32.68651690673586,104.38059921844153,74.76122298368716,113.32813475899928,61.75474444228618,50.69979949354033,6.109900055799603,0.4075021847517546,0.5405472810560917,5.069979949354034,8.819160477286347,0.2295347899823257,0.24698236701475962,0.018741365653183573,8312.974342330892,3.3585276829504274,-2.847813998347024,200.72860718533454,54.782700324016965,1563747049299003392,False,52.82780642324135,-3019.5035271174993,-152.3573120202293,-1107.444504795724,False,0.4567580988162675
2225,-9.763414922244008,58.34912171872631,27.90719138508402,-234.43046687195348,-87.27627270762181,-124.09451449274431,91.68145584280474,25.53109706938118,64.69130668189497,-350.81319478569816,0.8369104168926865,0.06755587628214138,6.469130668189497,10.536147746029854,0.3289390223308704,0.3901052322832709,-0.18583887349233624,7508.219704499706,3.4162408821104457,-2.3315243809101283,278.9699549645513,62.017439670402034,2159668710737632512,False,65.412197695035,-4805.170284934997,-7753.88214005729,14530.926309400882,False,-1.9476015303113297
2267,12.750356908721818,41.32033678932607,-29.989208179228772,10.20788560510489,60.101089184692775,-156.00355159367356,63.115384811048884,-32.88778533660117,55.16905830629055,-50.860437588080885,-0.31298730005578157,-0.8715601227139345,5.516905830629056,6.100164628271414,0.3566214019035244,0.3518071187499031,-0.35480097386901327,7423.083763004501,3.2264848540394007,-2.290982194730857,325.8119566553518,7.3627468454963845,2701242337048992384,False,52.62408612888442,-4643.735216823451,1682.9745553662933,344.5170665979061,False,0.0729858468426505
