name, ra,  dec,
S3207 , 332.6329 , 0.1127 , 13.09 ,
S3208 , 332.8455 , -0.2309 , 30.44 ,
S3209 , 332.5291 , -0.2429 , 28.61 ,
S3210 , 332.074 , -0.0234 , 15.39 ,
S3211 , 331.7548 , -0.2048 , 25.94 ,
S3212 , 332.5802 , 0.7305 , 13.17 ,
S3213 , 332.3153 , 0.807 , 11.7 ,
S3214 , 332.4977 , 0.7649 , 20.13 ,
S3215 , 331.9159 , 0.7309 , 19.98 ,
S3216 , 332.6142 , 0.7861 , 31.1 ,
S3217 , 333.1061 , 0.9745 , 28.72 ,
S3218 , 332.9343 , 0.4067 , 13.11 ,
S3219 , 333.2295 , 0.645 , 21.01 ,
S3220 , 333.828 , 0.3674 , 40.55 ,
S3221 , 333.6393 , 1.1469 , 11.04 ,
S3222 , 334.1109 , 0.1742 , 20.41 ,
S3223 , 334.1043 , 0.5691 , 26.82 ,
S3224 , 130.1792 , 24.8112 , 13.61 ,
S3225 , 130.3378 , 24.444 , 30.26 ,
S3226 , 129.8708 , 24.5057 , 21.94 ,
S3227 , 130.2737 , 25.1584 , 104.74 ,
S3228 , 129.7095 , 24.3613 , 18.56 ,
S3229 , 129.6162 , 24.8867 , 20.36 ,
S3230 , 129.6099 , 24.9221 , 93.4 ,
S3231 , 129.1433 , 25.4896 , 11.19 ,
S3232 , 129.0799 , 25.2941 , 18.93 ,
S3233 , 129.1164 , 24.7334 , 18.11 ,
S3234 , 128.7335 , 24.7229 , 31.65 ,
S3235 , 128.3781 , 26.2908 , 16.99 ,
S3236 , 129.5381 , 26.632 , 79.14 ,
S3237 , 129.795 , 26.9909 , 14.66 ,
S3238 , 130.3605 , 26.6907 , 11.06 ,
S3239 , 131.2025 , 25.7277 , 11.16 ,
S3240 , 136.0612 , 37.9282 , 16.8 ,
S3241 , 135.05 , 38.5341 , 11.76 ,
S3242 , 135.4097 , 39.2415 , 23.35 ,
S3243 , 134.9523 , 38.9345 , 27.25 ,
S3244 , 135.7267 , 38.7482 , 27.78 ,
S3245 , 136.8038 , 39.5931 , 35.39 ,
S3246 , 136.6992 , 38.7688 , 14.72 ,
S3247 , 136.9852 , 38.7597 , 15.75 ,
S3248 , 138.4975 , 38.4667 , 11.44 ,
S3249 , 169.4562 , 38.8131 , 12.47 ,
S3250 , 169.1984 , 39.9604 , 20.07 ,
S3251 , 170.173 , 39.895 , 21.02 ,
S3252 , 171.5983 , 39.0091 , 25.7 ,
S3253 , 171.4491 , 38.9953 , 18.17 ,
S3254 , 144.4878 , 6.5329 , 26.48 ,
S3255 , 144.3593 , 6.5985 , 12.76 ,
S3256 , 144.2115 , 6.5199 , 49.13 ,
S3257 , 144.0969 , 7.4965 , 20.69 ,
S3258 , 143.6796 , 7.0024 , 20.48 ,
S3259 , 143.1152 , 6.3942 , 23.39 ,
S3260 , 142.8454 , 6.3374 , 52.48 ,
S3261 , 143.2076 , 8.2947 , 37.97 ,
S3262 , 143.7769 , 8.501 , 25.4 ,
S3263 , 143.7299 , 7.8574 , 34.3 ,
S3264 , 144.061 , 8.0581 , 66.55 ,
S3265 , 144.3748 , 7.6833 , 22.48 ,
S3266 , 143.9829 , 8.8392 , 12.93 ,
S3267 , 156.5003 , 35.7097 , 19.13 ,
S3268 , 154.5907 , 35.9152 , 17.39 ,
S3269 , 153.8367 , 35.2654 , 17.63 ,
S3270 , 155.1375 , 36.699 , 50.28 ,
S3271 , 156.1355 , 36.1553 , 26.23 ,
S3272 , 155.9487 , 36.0598 , 16.35 ,
S3273 , 156.1802 , 36.0069 , 17.57 ,
S3274 , 156.6258 , 36.1168 , 27.0 ,
S3275 , 127.0474 , 38.7324 , 31.47 ,
S3276 , 125.4303 , 39.6536 , 39.76 ,
S3277 , 125.223 , 39.2945 , 15.99 ,
S3278 , 125.1892 , 40.0897 , 37.24 ,
S3279 , 127.483 , 40.4935 , 7.67 ,
S3280 , 149.2551 , 0.8098 , 28.96 ,
S3281 , 148.8474 , 1.988 , 10.56 ,
S3282 , 148.7484 , 1.7148 , 62.82 ,
S3283 , 148.6583 , 1.9245 , 22.22 ,
S3284 , 148.7891 , 2.4099 , 15.94 ,
S3285 , 149.1223 , 2.3808 , 30.7 ,
S3286 , 149.0565 , 2.3853 , 26.27 ,
S3287 , 149.7535 , 2.8401 , 13.76 ,
S3288 , 150.4923 , 1.9711 , 26.39 ,
S3289 , 150.3933 , 2.8815 , 74.52 ,
S3290 , 150.629 , 3.2734 , 16.36 ,
S3291 , 151.1213 , 1.9519 , 11.79 ,
S3292 , 155.3245 , 7.4899 , 47.11 ,
S3293 , 155.2008 , 7.4938 , 17.92 ,
S3294 , 154.4915 , 7.6604 , 24.27 ,
S3295 , 154.2637 , 8.1901 , 10.85 ,
S3296 , 153.9193 , 8.0904 , 9.83 ,
S3297 , 154.2211 , 7.3068 , 25.87 ,
S3298 , 153.6262 , 8.4843 , 23.11 ,
S3299 , 153.2321 , 8.7641 , 10.71 ,
S3300 , 153.5784 , 7.6947 , 11.8 ,
S3301 , 153.5529 , 7.5206 , 16.31 ,
S3302 , 153.4532 , 9.6538 , 16.16 ,
S3303 , 153.2709 , 9.3405 , 17.51 ,
S3304 , 153.3969 , 9.3342 , 29.99 ,
S3305 , 154.0491 , 8.8507 , 24.39 ,
S3306 , 154.8534 , 8.6018 , 14.43 ,
S3307 , 155.1775 , 8.5419 , 20.75 ,
S3308 , 56.0253 , -0.2465 , 17.24 ,
S3309 , 55.5405 , -1.0859 , 34.55 ,
S3310 , 54.3859 , -0.0264 , 23.86 ,
S3311 , 53.8825 , -0.5268 , 27.84 ,
S3312 , 54.1759 , -0.7114 , 22.86 ,
S3313 , 53.8484 , 0.3679 , 17.51 ,
S3314 , 54.6006 , 0.8414 , 22.9 ,
S3315 , 54.5166 , 0.3129 , 29.54 ,
S3316 , 54.7118 , 1.0167 , 30.32 ,
S3317 , 55.7483 , 0.0888 , 18.09 ,
S3318 , 56.0145 , 0.1902 , 24.32 ,
S3319 , 56.1383 , 0.8752 , 23.73 ,
S3320 , 61.5678 , -6.2157 , 12.97 ,
S3321 , 61.0103 , -5.5105 , 26.84 ,
S3322 , 60.6274 , -6.3864 , 20.92 ,
S3323 , 61.048 , -4.8945 , 17.77 ,
S3324 , 60.9013 , -4.9169 , 11.09 ,
S3325 , 61.2596 , -5.2636 , 22.12 ,
S3326 , 61.8075 , -4.5135 , 15.1 ,
S3327 , 61.8415 , -5.253 , 19.47 ,
S3328 , 61.924 , -5.1867 , 11.46 ,
S3329 , 62.9209 , -5.7968 , 10.88 ,
S3330 , 62.9599 , -5.3611 , 15.8 ,
S3331 , 62.9325 , -5.1178 , 20.68 ,
S3332 , 40.333 , 26.9083 , 8.85 ,
S3333 , 39.2738 , 26.0995 , 31.2 ,
S3334 , 39.2079 , 27.4853 , 14.05 ,
S3335 , 38.9133 , 28.3575 , 25.18 ,
S3336 , 38.6948 , 28.0477 , 9.74 ,
S3337 , 39.5298 , 28.0061 , 21.99 ,
S3338 , 40.0976 , 28.196 , 30.22 ,
S3339 , 40.1785 , 28.4897 , 13.87 ,
S3340 , 40.1373 , 28.5542 , 29.98 ,
S3341 , 73.5763 , -5.6822 , 37.35 ,
S3342 , 108.3547 , 31.861 , 22.13 ,
S3343 , 108.6943 , 31.9807 , 93.77 ,
S3344 , 107.8783 , 31.2276 , 22.18 ,
S3345 , 109.1276 , 30.8784 , 75.6 ,
S3346 , 117.7601 , 40.5703 , 43.15 ,
S3347 , 117.5087 , 40.7047 , 26.23 ,
S3348 , 116.8655 , 40.79 , 18.57 ,
S3349 , 115.5243 , 40.4597 , 14.54 ,
S3350 , 116.1141 , 42.7359 , 29.97 ,
S3351 , 115.6838 , 42.2555 , 19.37 ,
S3352 , 117.299 , 41.9667 , 21.63 ,
S3353 , 118.0772 , 41.3854 , 30.08 ,
S3354 , 120.3804 , 17.6551 , 17.47 ,
S3355 , 121.0147 , 18.2489 , 31.61 ,
S3356 , 120.5897 , 18.602 , 14.0 ,
S3357 , 120.8087 , 18.5929 , 53.94 ,
S3358 , 120.2276 , 17.9038 , 17.75 ,
S3359 , 119.7889 , 18.0668 , 14.97 ,
S3360 , 119.583 , 17.6618 , 20.16 ,
S3361 , 118.8935 , 18.8489 , 9.71 ,
S3362 , 119.6725 , 19.6695 , 36.67 ,
S3363 , 119.6596 , 19.9415 , 12.09 ,
S3364 , 120.6707 , 19.4557 , 30.39 ,
S3365 , 121.3282 , 19.9139 , 13.07 ,
S3366 , 117.9147 , 29.7364 , 9.9 ,
S3367 , 116.8516 , 29.5333 , 19.58 ,
S3368 , 116.6743 , 30.2339 , 48.7 ,
S3369 , 117.61 , 31.1666 , 20.12 ,
S3370 , 116.9532 , 30.5584 , 55.93 ,
S3371 , 119.3355 , 30.0034 , 20.8 ,
S3372 , 119.4724 , 30.1857 , 52.73 ,
S3373 , 134.0635 , 54.7875 , 22.24 ,
S3374 , 132.9415 , 54.53 , 14.7 ,
S3375 , 130.7378 , 54.9148 , 17.75 ,
S3376 , 130.7508 , 54.3835 , 15.46 ,
S3377 , 130.3463 , 55.9468 , 13.51 ,
S3378 , 131.1254 , 56.7491 , 9.02 ,
S3379 , 131.0208 , 56.3137 , 18.84 ,
S3380 , 132.7251 , 56.0004 , 14.3 ,
S3381 , 132.9324 , 55.7017 , 14.81 ,
S3382 , 132.638 , 55.64 , 34.32 ,
S3383 , 132.2791 , 56.6565 , 25.82 ,
S3384 , 132.3801 , 56.5126 , 19.65 ,
S3385 , 133.1985 , 55.8597 , 23.97 ,
S3386 , 133.9425 , 55.4061 , 13.26 ,
S3387 , 148.541 , 53.1798 , 20.32 ,
S3388 , 148.0844 , 53.8278 , 16.03 ,
S3389 , 148.0964 , 53.9101 , 17.19 ,
S3390 , 147.6027 , 53.3878 , 29.67 ,
S3391 , 146.53 , 55.2425 , 8.53 ,
S3392 , 146.2872 , 54.5069 , 19.92 ,
S3393 , 150.1095 , 53.8277 , 35.63 ,
S3394 , 171.6401 , 18.2212 , 33.3 ,
S3395 , 171.7225 , 19.0938 , 22.84 ,
S3396 , 171.7388 , 19.3973 , 36.99 ,
S3397 , 171.4498 , 19.3094 , 37.63 ,
S3398 , 171.3383 , 19.4421 , 25.16 ,
S3399 , 170.4429 , 20.4011 , 22.19 ,
S3400 , 170.7242 , 20.5141 , 21.31 ,
S3401 , 170.2228 , 19.6914 , 16.25 ,
S3402 , 171.1965 , 20.0501 , 28.1 ,
S3403 , 171.5757 , 20.8669 , 30.32 ,
S3404 , 171.6872 , 19.4881 , 11.06 ,
S3405 , 172.1906 , 19.6791 , 29.05 ,
S3406 , 172.1963 , 20.831 , 30.89 ,
S3407 , 172.6592 , 20.4365 , 10.8 ,
S3408 , 172.8035 , 19.8833 , 50.72 ,
S3409 , 165.4914 , 65.105 , 10.97 ,
S3410 , 164.588 , 65.6273 , 18.34 ,
S3411 , 163.0305 , 65.9679 , 15.23 ,
S3412 , 166.1329 , 67.6208 , 14.81 ,
S3413 , 166.6777 , 67.1347 , 12.79 ,
S3414 , 165.7059 , 66.5479 , 13.38 ,
S3415 , 165.4123 , 66.3996 , 16.09 ,
S3416 , 185.2862 , 19.1534 , 22.69 ,
S3417 , 185.1267 , 19.0825 , 39.14 ,
S3418 , 184.8338 , 18.7157 , 13.42 ,
S3419 , 184.7957 , 19.3459 , 21.02 ,
S3420 , 184.3406 , 19.3998 , 25.75 ,
S3421 , 184.0234 , 19.2036 , 28.98 ,
S3422 , 183.9253 , 19.1794 , 34.44 ,
S3423 , 183.6477 , 19.8037 , 25.42 ,
S3424 , 182.9635 , 19.9155 , 32.1 ,
S3425 , 182.9626 , 19.7877 , 14.84 ,
S3426 , 183.1105 , 21.0231 , 19.02 ,
S3427 , 184.0756 , 21.4173 , 11.52 ,
S3428 , 184.1701 , 20.9697 , 31.76 ,
S3429 , 183.8799 , 20.1482 , 25.28 ,
S3430 , 184.7068 , 20.0618 , 12.83 ,
S3431 , 184.8258 , 21.0393 , 83.75 ,
S3432 , 184.8413 , 21.0819 , 24.82 ,
S3433 , 184.9521 , 20.7083 , 37.87 ,
S3434 , 185.0348 , 20.6065 , 16.72 ,
S3435 , 184.9703 , 21.127 , 40.81 ,
S3436 , 185.1734 , 21.0698 , 17.71 ,
S3437 , 185.6094 , 20.7097 , 23.03 ,
S3438 , 179.6339 , 49.0595 , 27.05 ,
S3439 , 179.4015 , 49.6343 , 10.65 ,
S3440 , 178.0698 , 49.7088 , 10.71 ,
S3441 , 177.6454 , 49.2403 , 18.62 ,
S3442 , 176.8323 , 49.9337 , 66.6 ,
S3443 , 177.0978 , 48.8918 , 21.03 ,
S3444 , 177.2224 , 50.9414 , 10.58 ,
S3445 , 176.8993 , 50.8906 , 19.9 ,
S3446 , 176.9413 , 50.2336 , 17.29 ,
S3447 , 177.7192 , 49.9051 , 31.68 ,
S3448 , 178.327 , 51.0904 , 12.76 ,
S3449 , 125.8217 , 46.3737 , 13.99 ,
S3450 , 124.404 , 47.6234 , 26.33 ,
S3451 , 124.3399 , 47.6804 , 24.05 ,
S3452 , 125.6871 , 47.5864 , 15.78 ,
S3453 , 125.8938 , 47.8713 , 21.91 ,
S3454 , 126.0408 , 47.4093 , 27.26 ,
S3455 , 127.137 , 47.6504 , 25.44 ,
S3456 , 126.9916 , 48.6541 , 19.89 ,
S3457 , 130.4321 , 46.5137 , 11.52 ,
S3458 , 131.0914 , 46.7102 , 10.95 ,
S3459 , 130.9245 , 46.7588 , 21.87 ,
S3460 , 130.2335 , 46.9504 , 16.72 ,
S3461 , 128.085 , 46.6572 , 37.85 ,
S3462 , 128.8015 , 48.1971 , 14.0 ,
S3463 , 129.1759 , 48.6555 , 14.27 ,
S3464 , 129.0136 , 48.2968 , 10.07 ,
S3465 , 128.5477 , 47.6077 , 13.68 ,
S3466 , 130.834 , 47.6342 , 15.45 ,
S3467 , 131.0888 , 47.6813 , 20.72 ,
S3468 , 157.4799 , 53.5351 , 27.61 ,
S3469 , 156.8399 , 53.193 , 33.48 ,
S3470 , 156.3765 , 53.2428 , 7.88 ,
S3471 , 155.8321 , 52.9033 , 18.81 ,
S3472 , 156.6509 , 54.7168 , 24.49 ,
S3473 , 156.5782 , 54.0052 , 26.48 ,
S3474 , 157.5081 , 54.4316 , 9.95 ,
S3475 , 158.0673 , 54.1528 , 15.48 ,
S3476 , 159.1992 , 54.3871 , 28.0 ,
S3477 , 157.2651 , 55.5955 , 26.51 ,
S3478 , 156.9306 , 55.2737 , 36.1 ,
S3479 , 155.5382 , 55.2886 , 13.67 ,
S3480 , 155.0242 , 56.3025 , 17.93 ,
S3481 , 157.5486 , 56.9543 , 17.81 ,
S3482 , 158.7052 , 55.9105 , 18.57 ,
S3483 , 159.134 , 55.4988 , 11.19 ,
S3484 , 154.9893 , 18.3665 , 22.67 ,
S3485 , 154.0824 , 17.7015 , 35.01 ,
S3486 , 154.179 , 17.9381 , 28.43 ,
S3487 , 153.7394 , 17.6735 , 34.64 ,
S3488 , 154.2059 , 18.2814 , 26.56 ,
S3489 , 154.129 , 18.2456 , 27.33 ,
S3490 , 153.9366 , 18.3636 , 19.16 ,
S3491 , 153.3917 , 18.7142 , 30.26 ,
S3492 , 153.0615 , 18.3152 , 16.41 ,
S3493 , 153.1819 , 17.7157 , 25.17 ,
S3494 , 153.1431 , 17.8452 , 24.2 ,
S3495 , 153.0228 , 17.8905 , 21.41 ,
S3496 , 152.8062 , 18.1758 , 17.13 ,
S3497 , 152.7262 , 17.9537 , 18.46 ,
S3498 , 153.0622 , 19.6038 , 18.85 ,
S3499 , 153.4301 , 19.7638 , 14.77 ,
S3500 , 153.6131 , 19.5134 , 62.6 ,
S3501 , 153.2613 , 18.901 , 14.33 ,
S3502 , 153.6138 , 20.1351 , 21.4 ,
S3503 , 153.6754 , 19.4084 , 16.24 ,
S3504 , 153.834 , 19.1816 , 13.01 ,
S3505 , 154.1227 , 19.4433 , 20.91 ,
S3506 , 154.4906 , 18.922 , 29.52 ,
S3507 , 154.4565 , 19.4473 , 10.24 ,
S3508 , 154.6141 , 19.3313 , 26.55 ,
S3509 , 154.887 , 18.8993 , 27.25 ,
S3510 , 154.9735 , 19.1609 , 26.13 ,
S3511 , 153.5752 , 19.8236 , 18.52 ,
S3512 , 152.9794 , 20.0317 , 30.23 ,
S3513 , 152.5959 , 19.368 , 17.97 ,
S3514 , 152.4577 , 19.4494 , 22.69 ,
S3515 , 152.1112 , 19.9188 , 69.23 ,
S3516 , 151.4821 , 19.7084 , 28.68 ,
S3517 , 151.4577 , 19.8999 , 34.26 ,
S3518 , 151.8482 , 21.9819 , 28.49 ,
S3519 , 151.7547 , 21.6047 , 10.54 ,
S3520 , 152.2679 , 22.2292 , 34.99 ,
S3521 , 152.7387 , 21.012 , 17.17 ,
S3522 , 153.2107 , 21.0196 , 32.15 ,
S3523 , 153.3723 , 20.8734 , 25.41 ,
S3524 , 153.1486 , 21.7912 , 18.75 ,
S3525 , 153.3542 , 21.8413 , 26.37 ,
S3526 , 184.2317 , 28.8039 , 11.1 ,
S3527 , 183.5251 , 28.4005 , 16.97 ,
S3528 , 183.5279 , 28.8369 , 18.95 ,
S3529 , 182.8251 , 28.1353 , 23.83 ,
S3530 , 182.019 , 29.6798 , 10.4 ,
S3531 , 182.0276 , 29.2195 , 20.98 ,
S3532 , 182.1811 , 28.9332 , 14.39 ,
S3533 , 181.4712 , 29.145 , 12.92 ,
S3534 , 182.7701 , 29.9988 , 23.31 ,
S3535 , 183.2491 , 30.6396 , 47.37 ,
S3536 , 184.0881 , 29.8744 , 19.8 ,
S3537 , 181.5341 , 30.49 , 11.28 ,
S3538 , 181.7066 , 30.3638 , 29.42 ,
S3539 , 181.2121 , 30.4374 , 14.15 ,
S3540 , 180.3055 , 30.8624 , 14.98 ,
S3541 , 180.3854 , 30.3999 , 18.82 ,
S3542 , 179.4833 , 30.4882 , 12.3 ,
S3543 , 179.2768 , 30.5324 , 21.92 ,
S3544 , 179.4107 , 31.6403 , 19.44 ,
S3545 , 180.0554 , 31.9599 , 15.97 ,
S3546 , 180.4819 , 31.0615 , 17.8 ,
S3547 , 180.7664 , 30.9765 , 13.1 ,
S3548 , 181.3294 , 32.0241 , 15.79 ,
S3549 , 181.3841 , 31.8479 , 31.06 ,
S3550 , 127.4825 , 31.4516 , 16.7 ,
S3551 , 126.8346 , 31.8222 , 26.5 ,
S3552 , 126.2392 , 32.5582 , 10.51 ,
S3553 , 126.4035 , 32.3529 , 20.7 ,
S3554 , 127.7213 , 32.424 , 13.63 ,
S3555 , 127.4827 , 33.224 , 40.28 ,
S3556 , 128.0176 , 32.3237 , 17.77 ,
S3557 , 128.1333 , 32.3066 , 29.92 ,
S3558 , 128.6207 , 31.8684 , 14.17 ,
S3559 , 50.3392 , -0.814 , 35.96 ,
S3560 , 50.3774 , -0.2654 , 33.06 ,
S3561 , 49.8943 , -1.1114 , 25.84 ,
S3562 , 48.5941 , -0.0249 , 20.64 ,
S3563 , 48.6728 , 0.1304 , 8.95 ,
S3564 , 48.6957 , -0.5171 , 23.77 ,
S3565 , 48.4414 , -0.3799 , 20.97 ,
S3566 , 48.6457 , -1.2407 , 27.19 ,
S3567 , 48.1311 , 0.1504 , 32.6 ,
S3568 , 48.4322 , -1.1454 , 20.56 ,
S3569 , 48.3141 , 0.8472 , 21.05 ,
S3570 , 48.7654 , 1.1444 , 29.52 ,
S3571 , 48.8909 , 1.0779 , 35.17 ,
S3572 , 48.9274 , 1.0908 , 50.68 ,
S3573 , 49.0292 , 0.0818 , 18.49 ,
S3574 , 49.4334 , 0.6123 , 23.86 ,
S3575 , 49.3119 , 0.223 , 13.05 ,
S3576 , 49.5103 , 0.6101 , 26.24 ,
S3577 , 50.3642 , 0.1487 , 26.58 ,
S3578 , 50.2494 , 0.6819 , 16.06 ,
S3579 , 45.547 , -1.1466 , 19.3 ,
S3580 , 45.2395 , -0.8174 , 29.11 ,
S3581 , 45.0573 , -0.8016 , 25.89 ,
S3582 , 45.0544 , -0.7528 , 18.8 ,
S3583 , 44.2451 , -0.1319 , 16.17 ,
S3584 , 44.6209 , -1.1919 , 27.52 ,
S3585 , 43.9846 , -0.0851 , 29.78 ,
S3586 , 44.2529 , 0.9199 , 38.91 ,
S3587 , 44.3717 , 0.2994 , 28.16 ,
S3588 , 44.6472 , 0.0021 , 20.38 ,
S3589 , 45.3075 , 1.128 , 36.76 ,
S3590 , 45.9888 , -0.2365 , 30.8 ,
S3591 , 46.1714 , -0.1516 , 32.79 ,
S3592 , 47.2541 , -7.8941 , 21.19 ,
S3593 , 46.8349 , -8.5731 , 26.53 ,
S3594 , 46.7973 , -7.838 , 26.17 ,
S3595 , 46.6052 , -7.4795 , 24.35 ,
S3596 , 49.2798 , -7.9622 , 21.15 ,
S3597 , 49.541 , -7.7133 , 40.88 ,
S3598 , 48.1701 , -8.154 , 16.28 ,
S3599 , 48.8378 , -5.996 , 13.59 ,
S3600 , 48.8811 , -6.7126 , 17.49 ,
S3601 , 49.0167 , -6.6492 , 30.73 ,
S3602 , 50.5838 , -7.4141 , 20.95 ,
S3603 , 52.6842 , 17.0495 , 42.06 ,
S3604 , 52.343 , 17.1894 , 39.83 ,
S3605 , 51.9518 , 16.5198 , 33.03 ,
S3606 , 52.0915 , 17.0992 , 32.95 ,
S3607 , 51.1617 , 17.6201 , 10.32 ,
S3608 , 51.6676 , 16.5213 , 23.72 ,
S3609 , 51.3961 , 16.8346 , 36.72 ,
S3610 , 50.9202 , 17.2054 , 36.17 ,
S3611 , 51.0382 , 16.7406 , 8.98 ,
S3612 , 51.1784 , 16.7223 , 12.22 ,
S3613 , 51.1241 , 18.6188 , 26.79 ,
S3614 , 51.2312 , 18.3352 , 35.08 ,
S3615 , 51.1607 , 18.4907 , 21.25 ,
S3616 , 51.9826 , 18.1496 , 25.14 ,
S3617 , 52.8381 , 17.7759 , 19.21 ,
S3618 , 52.8835 , 18.2469 , 30.64 ,
S3619 , 52.9453 , 18.4252 , 18.19 ,
S3620 , 53.0827 , 17.8732 , 22.22 ,
S3621 , 126.0685 , 29.8513 , 25.58 ,
S3622 , 126.0911 , 30.3562 , 20.53 ,
S3623 , 126.0573 , 30.4234 , 14.94 ,
S3624 , 124.6793 , 30.5513 , 37.64 ,
S3625 , 123.4278 , 29.9291 , 43.62 ,
S3626 , 123.8996 , 31.6254 , 15.82 ,
S3627 , 130.6594 , 14.2369 , 19.17 ,
S3628 , 130.7655 , 14.3596 , 27.05 ,
S3629 , 130.2688 , 14.2237 , 13.79 ,
S3630 , 130.1208 , 14.2158 , 27.3 ,
S3631 , 130.178 , 14.9756 , 13.93 ,
S3632 , 129.6202 , 14.7392 , 12.43 ,
S3633 , 129.2413 , 15.9805 , 16.06 ,
S3634 , 128.8209 , 15.3424 , 21.0 ,
S3635 , 128.9194 , 15.8432 , 39.75 ,
S3636 , 128.9894 , 15.3869 , 33.12 ,
S3637 , 129.5466 , 15.9381 , 17.14 ,
S3638 , 129.0985 , 15.468 , 15.15 ,
S3639 , 129.6758 , 16.3822 , 8.98 ,
S3640 , 130.0013 , 16.1425 , 21.17 ,
S3641 , 130.0417 , 16.1607 , 9.39 ,
S3642 , 130.2987 , 15.603 , 32.56 ,
S3643 , 130.1412 , 15.1744 , 27.7 ,
S3644 , 130.5143 , 15.475 , 13.57 ,
S3645 , 130.7537 , 15.5218 , 22.2 ,
S3646 , 141.4512 , 13.773 , 9.78 ,
S3647 , 141.6512 , 14.053 , 23.92 ,
S3648 , 141.0204 , 14.4516 , 34.43 ,
S3649 , 140.5555 , 14.1405 , 21.88 ,
S3650 , 140.7417 , 14.5724 , 12.13 ,
S3651 , 140.0964 , 13.7181 , 26.35 ,
S3652 , 140.785 , 15.793 , 13.61 ,
S3653 , 140.5416 , 15.0028 , 8.38 ,
S3654 , 140.5069 , 14.9564 , 12.01 ,
S3655 , 141.2121 , 15.6452 , 21.6 ,
S3656 , 141.2025 , 15.8547 , 30.57 ,
S3657 , 141.4523 , 15.1082 , 24.55 ,
S3658 , 141.3025 , 15.3863 , 23.12 ,
S3659 , 141.6857 , 16.0336 , 14.93 ,
S3660 , 141.7759 , 15.5674 , 14.8 ,
S3661 , 142.0366 , 15.1835 , 22.71 ,
S3662 , 148.8501 , 44.0516 , 17.31 ,
S3663 , 149.1791 , 45.8744 , 14.45 ,
S3664 , 149.1134 , 45.7171 , 11.66 ,
S3665 , 149.8337 , 45.9997 , 29.57 ,
S3666 , 150.4983 , 45.3093 , 31.17 ,
S3667 , 150.2933 , 46.4733 , 8.66 ,
S3668 , 151.9299 , 44.8083 , 14.44 ,
S3669 , 151.3607 , 41.9364 , 7.33 ,
S3670 , 151.336 , 41.967 , 14.59 ,
S3671 , 150.3785 , 42.2291 , 33.62 ,
S3672 , 149.8073 , 41.2855 , 10.07 ,
S3673 , 149.6203 , 41.746 , 11.33 ,
S3674 , 149.2927 , 41.9684 , 13.7 ,
S3675 , 148.4632 , 43.3521 , 30.88 ,
S3676 , 148.7818 , 43.3069 , 13.86 ,
S3677 , 149.2776 , 43.5481 , 17.08 ,
S3678 , 149.4682 , 43.144 , 14.27 ,
S3679 , 150.2207 , 43.4337 , 15.98 ,
S3680 , 150.0003 , 43.8387 , 22.16 ,
S3681 , 151.7379 , 42.6036 , 27.5 ,
S3682 , 151.2152 , 43.8841 , 20.36 ,
S3683 , 128.1495 , 13.7607 , 36.22 ,
S3684 , 127.362 , 13.3764 , 26.9 ,
S3685 , 127.4997 , 12.9802 , 10.94 ,
S3686 , 127.4826 , 13.998 , 42.02 ,
S3687 , 128.4986 , 14.9714 , 22.88 ,
S3688 , 128.1875 , 14.9416 , 21.13 ,
S3689 , 129.259 , 13.5987 , 18.45 ,
S3690 , 129.4292 , 13.9169 , 27.8 ,
S3691 , 129.3863 , 13.7231 , 41.29 ,
S3692 , 144.2867 , 13.6456 , 11.82 ,
S3693 , 144.3494 , 14.1277 , 35.93 ,
S3694 , 144.176 , 14.57 , 26.05 ,
S3695 , 143.38 , 14.2782 , 24.98 ,
S3696 , 142.749 , 13.6055 , 11.82 ,
S3697 , 142.6424 , 15.7516 , 20.82 ,
S3698 , 143.3593 , 16.2679 , 12.62 ,
S3699 , 143.0384 , 14.9962 , 24.65 ,
S3700 , 143.8736 , 15.2277 , 29.24 ,
S3701 , 143.9275 , 16.109 , 20.58 ,
S3702 , 144.3297 , 14.698 , 26.73 ,
S3703 , 144.4561 , 15.0604 , 20.99 ,
S3704 , 110.6357 , 39.175 , 23.97 ,
S3705 , 109.4833 , 39.5522 , 12.47 ,
S3706 , 109.7358 , 40.7888 , 8.67 ,
S3707 , 110.5408 , 40.8356 , 8.46 ,
S3708 , 110.7775 , 39.8538 , 24.82 ,
S3709 , 111.3784 , 40.7514 , 30.79 ,
S3710 , 107.592 , 29.3016 , 51.5 ,
S3711 , 106.5316 , 29.186 , 21.68 ,
S3712 , 106.565 , 29.3622 , 65.57 ,
S3713 , 106.1067 , 29.6297 , 32.76 ,
S3714 , 105.791 , 29.7017 , 19.12 ,
S3715 , 105.3299 , 30.6907 , 17.1 ,
S3716 , 104.8548 , 30.4925 , 86.72 ,
S3717 , 105.5214 , 30.5377 , 76.54 ,
S3718 , 106.2527 , 30.7175 , 29.35 ,
S3719 , 105.9427 , 30.2784 , 12.86 ,
S3720 , 106.2987 , 29.8436 , 15.56 ,
S3721 , 104.9469 , 28.2212 , 87.4 ,
S3722 , 104.3207 , 28.2315 , 90.34 ,
S3723 , 103.9523 , 28.7182 , 12.27 ,
S3724 , 103.6203 , 28.6013 , 22.57 ,
S3725 , 104.6029 , 29.7179 , 26.2 ,
S3726 , 104.9561 , 29.1925 , 23.77 ,
S3727 , 104.8111 , 29.8313 , 92.03 ,
