name, ra,  dec,
S197 , 355.9654 , 45.7318 , 19.55 ,
S198 , 354.8503 , 45.2863 , 23.4 ,
S199 , 354.8102 , 46.7973 , 14.41 ,
S200 , 320.2399 , 9.8437 , 22.41 ,
S201 , 320.1341 , 9.9274 , 9.7 ,
S202 , 318.4988 , 9.4621 , 9.84 ,
S203 , 318.0963 , 11.5224 , 39.02 ,
S204 , 318.6348 , 11.4158 , 15.11 ,
S205 , 318.6402 , 10.6649 , 13.89 ,
S206 , 318.8484 , 10.5655 , 12.47 ,
S207 , 319.3432 , 11.517 , 12.55 ,
S208 , 320.166 , 10.8333 , 29.97 ,
S209 , 340.2236 , 12.4897 , 21.3 ,
S210 , 339.9829 , 14.5929 , 14.35 ,
S211 , 340.9462 , 13.8299 , 15.55 ,
S212 , 341.2177 , 13.9138 , 22.14 ,
S213 , 356.5862 , 14.5372 , 16.09 ,
S214 , 354.3278 , 14.8433 , 47.47 ,
S215 , 356.625 , 15.3882 , 35.65 ,
S216 , 356.5911 , 15.9345 , 32.03 ,
S217 , 10.9419 , 15.3885 , 45.97 ,
S218 , 27.2395 , 13.4991 , 9.61 ,
S219 , 26.063 , 13.9701 , 34.64 ,
S220 , 25.9337 , 13.2996 , 16.94 ,
S221 , 26.0229 , 15.0449 , 31.85 ,
S222 , 26.1146 , 15.1435 , 25.75 ,
S223 , 26.1602 , 14.8067 , 35.97 ,
S224 , 26.4143 , 14.6887 , 30.06 ,
S225 , 27.9486 , 14.6751 , 60.93 ,
S226 , 28.0126 , 14.4321 , 28.12 ,
S227 , 341.5358 , -0.7384 , 25.9 ,
S228 , 342.1516 , -0.3544 , 33.42 ,
S229 , 341.7704 , -0.205 , 44.98 ,
S230 , 341.3918 , -0.5572 , 22.16 ,
S231 , 339.9856 , -0.2951 , 15.83 ,
S232 , 340.1761 , -0.7242 , 15.23 ,
S233 , 339.8232 , -0.6628 , 12.56 ,
S234 , 339.7612 , 0.0318 , 31.08 ,
S235 , 339.8652 , 0.1752 , 18.61 ,
S236 , 340.4731 , 1.1841 , 39.88 ,
S237 , 340.5028 , 0.2581 , 30.27 ,
